Date,Original Description,Amount,Category,Account Name,Matched Category
2023-05-22,pos wd lemmon way grocery outle,1.95,Groceries,Cash Back Student Checking,food
2023-05-22,external wd americanexpress pers,34.0,Savings,Cash Back Student Checking,savings
2023-05-22,external wd farmers ins  - eft p,17.21,Life Insurance,Cash Back Student Checking,insurance
2023-05-21,maverik #443 reno nv,46.25,Gas & Fuel,DISCOVER IT CHROME CARD,transport
2023-05-21,pos wd vioc ig0001 305 buck dr,82.02,Service & Parts,Cash Back Student Checking,transport
2023-05-21,pos wd roku 2711 centerville roa,9.99,Entertainment,Cash Back Student Checking,entertainment
2023-05-21,pos wd  sq *little fish companya,38.79,Restaurants,Cash Back Student Checking,
2023-05-21,pos wd  sq *olivier's organic fr,31.18,Groceries,Cash Back Student Checking,
2023-05-21,pos wd  sq *mwintsoph enterprisr,22.66,Business Services,Cash Back Student Checking,
2023-05-20,pos wd  chevron/fast lane      t,13.12,Gas & Fuel,Cash Back Student Checking,transport
2023-05-19,internet transfer from greater nevada credit union dda account xxxxx0651,34.0,Transfer,High Yield Savings Acct,savings
2023-05-19,withdrawal internet transfer to,80.0,Transfer,Cash Back Student Checking,savings
2023-05-19,pos wd  dutch bros             5,15.0,Coffee Shops,Cash Back Student Checking,food
2023-05-19,withdrawal rent,760.0,Mortgage & Rent,Cash Back Student Checking,
2023-05-19,external dp assist-2-sell in wrs,1471.15,Income,Cash Back Student Checking,income
2023-05-19,pos wd smiths food # 4344 175 le,11.72,Groceries,Cash Back Student Checking,food
2023-05-19,deposit internet transfer from x,80.0,Transfer,Regular Share,savings
2023-05-19,deposit rent,760.0,Transfer,Regular Share,
2023-05-18,pos wd  dutch bros             5,15.0,Coffee Shops,Cash Back Student Checking,food
2023-05-18,pos wd  amzn mktp us*2779w40w3 a,33.93,Shopping,Cash Back Student Checking,other
2023-05-17,pos wd  apple.com/bill         8,2.99,Electronics & Software,Cash Back Student Checking,entertainment
2023-05-17,pos wd save mart #554 reno nv 49,10.48,Groceries,Cash Back Student Checking,food
2023-05-17,automatic statement credit,4.39,Credit Card Payment,DISCOVER IT CHROME CARD,
2023-05-16,external wd americanexpress pers,10.0,Savings,Cash Back Student Checking,savings
2023-05-16,external wd americanexpress pers,50.0,Savings,Cash Back Student Checking,savings
2023-05-16,interest charge on purchases,107.53,Finance Charge,DISCOVER IT CHROME CARD,
2023-05-15,withdrawal internet transfer to,80.0,Transfer,Regular Share,savings
2023-05-15,deposit internet transfer from x,80.0,Transfer,Cash Back Student Checking,savings
2023-05-15,internet transfer from greater nevada credit union dda account xxxxx0651,10.0,Transfer,High Yield Savings Acct,savings
2023-05-15,internet transfer from greater nevada credit union dda account xxxxx0651,50.0,Transfer,High Yield Savings Acct,savings
2023-05-15,pos wd  steam purchase         4,2.99,Entertainment,Cash Back Student Checking,entertainment
